insee,label,population
01,Guadeloupe,376879.0
02,Martinique,358749.0
03,Guyane,290691.0
04,La Réunion,859959.0
06,Mayotte,279471.0
11,Île-de-France,12278210.0
24,Centre-Val de Loire,2559073.0
27,Bourgogne-Franche-Comté,2783039.0
28,Normandie,3303500.0
32,Hauts-de-France,5962662.0
44,Grand Est,5511747.0
52,Pays de la Loire,3801797.0
53,Bretagne,3340379.0
75,Nouvelle-Aquitaine,5999982.0
76,Occitanie,5924858.0
84,Auvergne-Rhône-Alpes,8032377.0
93,Provence-Alpes-Côte d'Azur,5055651.0
94,Corse,344679.0
